T:2021-08-02 11:59:34.161000, MarkersValid: True, TrolleyPos: 28.288, Hoistpos: 4.730, NoOfMarkers: 6, m1: (63258,63455) , m2: (68820,63512) , m3: (66119,63668) , m4: (99978,105932) , m5: (86612,107405) , m6: (114740,125879) 
T:2021-08-02 11:59:34.599000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.733, NoOfMarkers: 4, m1: (63251,63492) , m2: (68812,63545) , m3: (66112,63712) , m4: (125426,119904) , m5: (88816,114084) , m6: (118976,118769) 
T:2021-08-02 11:59:35.098000, MarkersValid: True, TrolleyPos: 28.286, Hoistpos: 4.735, NoOfMarkers: 8, m1: (63247,63485) , m2: (68807,63541) , m3: (66106,63709) , m4: (90065,101761) , m5: (98314,109670) , m6: (102890,115316) 
T:2021-08-02 11:59:35.603000, MarkersValid: True, TrolleyPos: 28.287, Hoistpos: 4.738, NoOfMarkers: 6, m1: (63248,63452) , m2: (68806,63509) , m3: (66107,63674) , m4: (113575,112148) , m5: (73933,119295) , m6: (118622,127621) 
T:2021-08-02 11:59:36.101000, MarkersValid: True, TrolleyPos: 28.283, Hoistpos: 4.740, NoOfMarkers: 4, m1: (63242,63485) , m2: (68802,63541) , m3: (66102,63710) , m4: (71635,122450) , m5: (128846,98851) , m6: (105956,105724) 
T:2021-08-02 11:59:36.602000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.743, NoOfMarkers: 3, m1: (63244,63457) , m2: (68803,63513) , m3: (66105,63682) , m4: (87507,104994) , m5: (125934,108262) , m6: (98182,109910) 
T:2021-08-02 11:59:37.101000, MarkersValid: True, TrolleyPos: 28.287, Hoistpos: 4.745, NoOfMarkers: 7, m1: (63237,63462) , m2: (68795,63517) , m3: (66097,63683) , m4: (56790,104489) , m5: (69158,115477) , m6: (86945,117910) 
T:2021-08-02 11:59:37.604000, MarkersValid: True, TrolleyPos: 28.283, Hoistpos: 4.747, NoOfMarkers: 5, m1: (63234,63480) , m2: (68790,63535) , m3: (66096,63705) , m4: (36777,107191) , m5: (92152,129910) , m6: (122448,112480) 
T:2021-08-02 11:59:38.102000, MarkersValid: True, TrolleyPos: 28.286, Hoistpos: 4.750, NoOfMarkers: 8, m1: (63239,63449) , m2: (68799,63506) , m3: (66102,63671) , m4: (107693,111967) , m5: (122534,114556) , m6: (80797,120039) 
T:2021-08-02 11:59:38.606000, MarkersValid: True, TrolleyPos: 28.286, Hoistpos: 4.752, NoOfMarkers: 8, m1: (63234,63452) , m2: (68793,63508) , m3: (66097,63674) , m4: (121192,92810) , m5: (54131,104045) , m6: (123854,105196) 
T:2021-08-02 11:59:39.105000, MarkersValid: True, TrolleyPos: 28.284, Hoistpos: 4.755, NoOfMarkers: 6, m1: (63238,63451) , m2: (68797,63507) , m3: (66103,63670) , m4: (126032,93926) , m5: (120248,114460) , m6: (115733,124307) 
T:2021-08-02 11:59:39.604000, MarkersValid: True, TrolleyPos: 28.286, Hoistpos: 4.757, NoOfMarkers: 5, m1: (63237,63425) , m2: (68797,63480) , m3: (66101,63645) , m4: (123500,118909) , m5: (32440,118992) , m6: (99703,113468) 
T:2021-08-02 11:59:40.103000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.760, NoOfMarkers: 7, m1: (63235,63438) , m2: (68794,63493) , m3: (66096,63657) , m4: (60174,95131) , m5: (123727,110830) , m6: (116891,115102) 
T:2021-08-02 11:59:40.606000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.762, NoOfMarkers: 6, m1: (63230,63430) , m2: (68791,63482) , m3: (66091,63651) , m4: (77087,99056) , m5: (95187,101649) , m6: (120992,118023) 
T:2021-08-02 11:59:41.105000, MarkersValid: False, TrolleyPos: 28.286, Hoistpos: 4.765, NoOfMarkers: 7, m1: (63219,63410) , m2: (68779,63464) , m3: (66082,63629) , m4: (80602,98302) , m5: (114147,117660) , m6: (120422,117902) 
T:2021-08-02 11:59:41.167000, MarkersValid: False, TrolleyPos: 28.286, Hoistpos: 4.765, NoOfMarkers: 7, m1: (63219,63410) , m2: (68779,63464) , m3: (66082,63629) , m4: (80602,98302) , m5: (114147,117660) , m6: (120422,117902) 
T:2021-08-02 11:59:41.605000, MarkersValid: False, TrolleyPos: 28.283, Hoistpos: 4.767, NoOfMarkers: 8, m1: (63225,63421) , m2: (68786,63475) , m3: (66087,63645) , m4: (128595,100936) , m5: (34119,104872) , m6: (105241,114384) 
T:2021-08-02 11:59:42.103000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.770, NoOfMarkers: 7, m1: (63224,63394) , m2: (68784,63450) , m3: (66085,63615) , m4: (115182,102434) , m5: (92134,110631) , m6: (115880,119409) 
T:2021-08-02 11:59:42.166000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.770, NoOfMarkers: 7, m1: (63224,63394) , m2: (68784,63450) , m3: (66085,63615) , m4: (115182,102434) , m5: (92134,110631) , m6: (115880,119409) 
T:2021-08-02 11:59:42.604000, MarkersValid: True, TrolleyPos: 28.286, Hoistpos: 4.772, NoOfMarkers: 11, m1: (63235,63394) , m2: (68795,63447) , m3: (66097,63612) , m4: (105294,102197) , m5: (74735,108755) , m6: (40939,109547) 
T:2021-08-02 11:59:43.103000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.774, NoOfMarkers: 8, m1: (63236,63408) , m2: (68797,63463) , m3: (66099,63634) , m4: (91003,101849) , m5: (119842,112572) , m6: (111840,118023) 
T:2021-08-02 11:59:43.605000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.777, NoOfMarkers: 6, m1: (63236,63383) , m2: (68797,63436) , m3: (66100,63603) , m4: (17174,106201) , m5: (115978,117237) , m6: (103098,117076) 
T:2021-08-02 11:59:44.104000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.779, NoOfMarkers: 7, m1: (63249,63377) , m2: (68809,63432) , m3: (66110,63596) , m4: (84057,92023) , m5: (128865,104093) , m6: (72450,106560) 
T:2021-08-02 11:59:44.168000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.779, NoOfMarkers: 7, m1: (63249,63377) , m2: (68809,63432) , m3: (66110,63596) , m4: (84057,92023) , m5: (128865,104093) , m6: (72450,106560) 
T:2021-08-02 11:59:44.603000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.782, NoOfMarkers: 7, m1: (63244,63356) , m2: (68806,63409) , m3: (66108,63575) , m4: (121767,95769) , m5: (55170,98791) , m6: (117765,111898) 
T:2021-08-02 11:59:45.103000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.784, NoOfMarkers: 5, m1: (63249,63320) , m2: (68808,63373) , m3: (66111,63532) , m4: (111284,108783) , m5: (90448,119877) , m6: (93480,108848) 
T:2021-08-02 11:59:45.169000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.784, NoOfMarkers: 5, m1: (63249,63320) , m2: (68808,63373) , m3: (66111,63532) , m4: (111284,108783) , m5: (90448,119877) , m6: (93480,108848) 
T:2021-08-02 11:59:45.606000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.786, NoOfMarkers: 12, m1: (63242,63319) , m2: (68803,63371) , m3: (66105,63529) , m4: (128166,96262) , m5: (110959,98244) , m6: (118719,103550) 
T:2021-08-02 11:59:46.105000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.789, NoOfMarkers: 9, m1: (63246,63310) , m2: (68804,63359) , m3: (66108,63520) , m4: (110920,120753) , m5: (84309,121883) , m6: (85541,125649) 
T:2021-08-02 11:59:46.604000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.792, NoOfMarkers: 7, m1: (63262,63297) , m2: (68822,63346) , m3: (66127,63511) , m4: (85240,92872) , m5: (98322,98118) , m6: (119637,110367) 
T:2021-08-02 11:59:47.105000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.794, NoOfMarkers: 5, m1: (63266,63298) , m2: (68825,63348) , m3: (66130,63513) , m4: (78639,103359) , m5: (123097,117039) , m6: (56818,109123) 
T:2021-08-02 11:59:47.170000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.794, NoOfMarkers: 5, m1: (63266,63298) , m2: (68825,63348) , m3: (66130,63513) , m4: (78639,103359) , m5: (123097,117039) , m6: (56818,109123) 
T:2021-08-02 11:59:47.604000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.797, NoOfMarkers: 7, m1: (63278,63281) , m2: (68837,63335) , m3: (66142,63497) , m4: (101468,99543) , m5: (92957,103276) , m6: (64125,118377) 
T:2021-08-02 11:59:48.104000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.799, NoOfMarkers: 7, m1: (63274,63281) , m2: (68833,63333) , m3: (66139,63499) , m4: (89108,108588) , m5: (97960,116068) , m6: (116203,119441) 
T:2021-08-02 11:59:48.171000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.799, NoOfMarkers: 7, m1: (63274,63281) , m2: (68833,63333) , m3: (66139,63499) , m4: (89108,108588) , m5: (97960,116068) , m6: (116203,119441) 
